age_range,gender,min_income,income,max_income,number_of_people,percent_of_people,percentile,selected_income_bracket
20-24 år,Kvinnor,0,0,1.0,28435,0.1071074766179124,10.71074766179124,False
20-24 år,Kvinnor,1,1-49 ,49.0,47290,0.17812950832639624,28.52369849443086,False
20-24 år,Kvinnor,50,50-99,99.0,40900,0.15405998922710099,43.929697417140964,False
20-24 år,Kvinnor,100,100-149,149.0,34338,0.1293425894885133,56.86395636599229,False
20-24 år,Kvinnor,150,150-199,199.0,28255,0.10642946199539703,67.50690256553199,False
20-24 år,Kvinnor,200,200-249,249.0,27620,0.10403757707707896,77.9106602732399,False
20-24 år,Kvinnor,250,250-299,299.0,27045,0.10187169703293268,88.09782997653316,False
20-24 år,Kvinnor,300,300-349,349.0,18052,0.06799733314248477,94.89756329078163,False
20-24 år,Kvinnor,350,350-399,399.0,8133,0.030634960693985632,97.9610593601802,False
20-24 år,Kvinnor,400,400-449,449.0,3233,0.012177895969956418,99.17884895717583,False
20-24 år,Kvinnor,450,450-499,499.0,1224,0.004610499433104441,99.63989890048627,False
20-24 år,Kvinnor,500,500-549,549.0,560,0.002109378825603339,99.85083678304662,False
20-24 år,Kvinnor,550,550-599,599.0,209,0.000787250311698389,99.92956181421646,False
20-24 år,Kvinnor,600,600-649,649.0,76,0.000286272840617596,99.95818909827821,False
20-24 år,Kvinnor,650,650-699,699.0,45,0.00016950365562883973,99.9751394638411,False
20-24 år,Kvinnor,700,700-749,749.0,21,7.910170596012521e-05,99.98304963443712,False
20-24 år,Kvinnor,750,750-799,799.0,15,5.650121854294658e-05,99.98869975629141,False
20-24 år,Kvinnor,800,800-849,849.0,8,3.013398322290484e-05,99.99171315461369,False
20-24 år,Kvinnor,850,850-899,899.0,7,2.6367235320041736e-05,99.9943498781457,False
20-24 år,Kvinnor,900,900-949,949.0,7,2.6367235320041736e-05,99.9969866016777,False
20-24 år,Kvinnor,950,950-999,999.0,4,1.506699161145242e-05,99.99849330083886,False
20-24 år,Kvinnor,1000,1 000-1 049,1049.0,4,1.506699161145242e-05,100.0,False
20-24 år,Kvinnor,1050,1 050-1 099,1099.0,0,0.0,100.0,False
20-24 år,Kvinnor,1100,1 100-1 149,1149.0,0,0.0,100.0,False
20-24 år,Kvinnor,1150,1 150-1 199,1199.0,0,0.0,100.0,False
20-24 år,Kvinnor,1200,1 200-1 249,1249.0,0,0.0,100.0,False
20-24 år,Kvinnor,1250,1 250-1 299,1299.0,0,0.0,100.0,False
20-24 år,Kvinnor,1300,1 300-1 349,1349.0,0,0.0,100.0,False
20-24 år,Kvinnor,1350,1 350-1 399,1399.0,0,0.0,100.0,False
20-24 år,Kvinnor,1400,1 400-1 449,1449.0,0,0.0,100.0,False
20-24 år,Kvinnor,1450,1 450-1 499,1499.0,0,0.0,100.0,False
20-24 år,Kvinnor,1500,1 500-,,0,0.0,100.0,False
20-24 år,Män,0,0,1.0,44601,0.14807621438033486,14.807621438033486,False
20-24 år,Män,1,1-49 ,49.0,46374,0.153962609934164,30.203882431449884,False
20-24 år,Män,50,50-99,99.0,32942,0.10936810058332752,41.14069248978264,False
20-24 år,Män,100,100-149,149.0,31286,0.10387014737569016,51.52770722735165,False
