percentile,interpolated_income,age_range,gender,selected_income_bracket
0,0.0,20-24 år,Kvinnor,False
1,0.0,20-24 år,Kvinnor,False
2,0.0,20-24 år,Kvinnor,False
3,0.0,20-24 år,Kvinnor,False
4,0.0,20-24 år,Kvinnor,False
5,0.0,20-24 år,Kvinnor,False
6,0.0,20-24 år,Kvinnor,False
7,0.0,20-24 år,Kvinnor,False
8,0.0,20-24 år,Kvinnor,False
9,0.0,20-24 år,Kvinnor,False
10,0.0,20-24 år,Kvinnor,False
11,0.01623831676887287,20-24 år,Kvinnor,False
12,0.0723772467752167,20-24 år,Kvinnor,False
13,0.12851617678156055,20-24 år,Kvinnor,False
14,0.1846551067879044,20-24 år,Kvinnor,False
15,0.2407940367942482,20-24 år,Kvinnor,False
16,0.29693296680059206,20-24 år,Kvinnor,False
17,0.3530718968069359,20-24 år,Kvinnor,False
18,0.40921082681327975,20-24 år,Kvinnor,False
19,0.4653497568196236,20-24 år,Kvinnor,False
20,0.5214886868259674,20-24 år,Kvinnor,False
21,0.5776276168323112,20-24 år,Kvinnor,False
22,0.6337665468386551,20-24 år,Kvinnor,False
23,0.6899054768449989,20-24 år,Kvinnor,False
24,0.7460444068513428,20-24 år,Kvinnor,False
25,0.8021833368576866,20-24 år,Kvinnor,False
26,0.8583222668640305,20-24 år,Kvinnor,False
27,0.9144611968703744,20-24 år,Kvinnor,False
28,0.9706001268767183,20-24 år,Kvinnor,False
29,2.514914669926659,20-24 år,Kvinnor,False
30,5.695493887530571,20-24 år,Kvinnor,False
31,8.87607310513448,20-24 år,Kvinnor,False
32,12.056652322738392,20-24 år,Kvinnor,False
33,15.237231540342304,20-24 år,Kvinnor,False
34,18.417810757946214,20-24 år,Kvinnor,False
35,21.598389975550127,20-24 år,Kvinnor,False
36,24.778969193154037,20-24 år,Kvinnor,False
37,27.95954841075795,20-24 år,Kvinnor,False
38,31.14012762836186,20-24 år,Kvinnor,False
39,34.32070684596577,20-24 år,Kvinnor,False
40,37.50128606356968,20-24 år,Kvinnor,False
41,40.68186528117359,20-24 år,Kvinnor,False
42,43.862444498777506,20-24 år,Kvinnor,False
43,47.04302371638141,20-24 år,Kvinnor,False
44,50.27176888578251,20-24 år,Kvinnor,False
45,54.13747160580115,20-24 år,Kvinnor,False
46,58.00317432581979,20-24 år,Kvinnor,False
47,61.86887704583843,20-24 år,Kvinnor,False
48,65.73457976585708,20-24 år,Kvinnor,False
49,69.60028248587571,20-24 år,Kvinnor,False
50,73.46598520589436,20-24 år,Kvinnor,False
51,77.33168792591299,20-24 år,Kvinnor,False
52,81.19739064593163,20-24 år,Kvinnor,False
